name,state,genotype,result,probability
tx_assigner,susceptible,all,ablation,1
tx_assigner,susceptible,all,excision,0
tx_assigner,susceptible,all,radiation,0
tx_assigner,latent,all,ablation,0.01
tx_assigner,latent,all,excision,0
tx_assigner,latent,all,radiation,0.99
tx_assigner,precin,all,ablation,0.99
tx_assigner,precin,all,excision,0.01
tx_assigner,precin,all,radiation,0
tx_assigner,cin,all,ablation,0.75
tx_assigner,cin,all,excision,0.15
tx_assigner,cin,all,radiation,0
tx_assigner,cancerous,all,ablation,0.1
tx_assigner,cancerous,all,excision,0.2
tx_assigner,cancerous,all,radiation,0.7
